Association Pairs,Lift Values
nissan_economical,2.905063291
audi_economical,2.561264822
lexus_economical,2.352475248
nissan_safe,2.151517462
lexus_luxury,2.048503727
honda_economical,2
lexus_reliable,1.903737195
honda_safe,1.893287435
honda_luxury,1.883360086
bmw_reliable,1.816174672
audi_reliable,1.764262377
honda_reliable,1.725846408
honda_performance,1.590514748
lexus_performance,1.587365214
audi_luxury,1.560820713
nissan_luxury,1.54885507
nissan_reliable,1.52118241
audi_safe,1.485070718
bmw_performance,1.481835478
bmw_luxury,1.412126824
nissan_performance,1.369855993
audi_performance,1.299067066
bmw_economical,1.232739421
bmw_safe,1.055961038
lexus_safe,0.850292258
performance_luxury,3.392621571
performance_reliable,1.343755119
performance_safe,1.497000146
performance_economical,1.093117409
luxury_reliable,1.221666558
luxury_safe,1.675240287
luxury_economical,1.820224719
reliable_safe,1.034194582
reliable_economical,4.057803468
safe_economical,0.975903614